geneId	position	strand	description
B9J08_000431	scaffold00004:888505-890568	-	vacuolar protein sorting-associated protein 1
B9J08_000432	scaffold00004:892066-893457	-	hypothetical protein
B9J08_000433	scaffold00004:895481-896764	+	S-adenosylmethionine decarboxylase proenzyme
B9J08_000434	scaffold00004:897308-898219	-	ADP%2CATP carrier protein
B9J08_000435	scaffold00004:899782-904404	-	hypothetical protein
B9J08_000436	scaffold00004:906523-907662	+	hypothetical protein
B9J08_000437	scaffold00004:908669-909121	-	ubiquitin-conjugating enzyme E2 13
B9J08_000438	scaffold00004:911860-912699	+	hypothetical protein
B9J08_000439	scaffold00004:916858-917148	+	hypothetical protein
B9J08_000440	scaffold00004:920400-921455	+	hypothetical protein
B9J08_000441	scaffold00004:925468-926498	-	hypothetical protein
B9J08_000442	scaffold00004:928187-930868	-	hypothetical protein
B9J08_000443	scaffold00004:933002-936514	+	hypothetical protein
B9J08_000444	scaffold00004:937198-938094	+	SEC14 cytosolic factor
B9J08_000445	scaffold00004:939186-940451	-	hypothetical protein
B9J08_000446	scaffold00004:940584-943175	-	hypothetical protein
B9J08_000447	scaffold00004:947725-948912	-	hypothetical protein
B9J08_000448	scaffold00004:951328-952965	-	hypothetical protein
B9J08_000449	scaffold00004:955560-957314	+	hypothetical protein
B9J08_000450	scaffold00004:957690-959006	-	hypothetical protein
B9J08_000451	scaffold00004:959503-962100	+	hypothetical protein
B9J08_000452	scaffold00004:962522-962755	+	hypothetical protein
B9J08_000453	scaffold00004:964273-964354	+	tRNA-Leu
B9J08_000454	scaffold00004:964559-966847	+	hypothetical protein
B9J08_000455	scaffold00004:966953-967024	-	tRNA-Glu
B9J08_000456	scaffold00004:967817-968440	+	hypothetical protein
B9J08_000457	scaffold00004:969778-970347	+	hypothetical protein
B9J08_000458	scaffold00004:972250-973488	+	extracellular signal-regulated kinase 1
B9J08_000459	scaffold00004:973791-974387	+	hypothetical protein
B9J08_000460	scaffold00004:976350-977612	+	hypothetical protein
B9J08_000461	scaffold00004:978287-978820	-	40S ribosomal protein S27-B
B9J08_000462	scaffold00004:981037-982023	-	serine/threonine-protein phosphatase PP1
B9J08_000463	scaffold00004:983618-984199	+	hypothetical protein
B9J08_000464	scaffold00004:984220-985056	-	hypothetical protein
B9J08_000465	scaffold00004:985251-986390	-	chorismate synthase
B9J08_000466	scaffold00004:987731-989473	+	hypothetical protein
B9J08_000467	scaffold00004:990394-992697	+	hypothetical protein
B9J08_000468	scaffold00004:992893-994716	-	hypothetical protein
B9J08_000469	scaffold00004:995361-996683	-	hypothetical protein
B9J08_000470	scaffold00004:997381-997453	-	tRNA-Lys
B9J08_000471	scaffold00004:998231-999421	+	hypothetical protein
B9J08_000472	scaffold00004:999503-1000318	+	hypothetical protein
B9J08_000473	scaffold00004:1000506-1002770	-	hypothetical protein
B9J08_000474	scaffold00004:1003665-1009424	-	hypothetical protein
B9J08_000475	scaffold00004:1010055-1010792	-	eukaryotic translation initiation factor 6
B9J08_000476	scaffold00004:1011225-1013924	-	hypothetical protein
B9J08_000477	scaffold00004:1016209-1016279	+	tRNA-Gln
B9J08_000478	scaffold00004:1016358-1016684	+	hypothetical protein
B9J08_000479	scaffold00004:1017543-1021961	+	hypothetical protein
B9J08_000480	scaffold00004:1022485-1024962	-	cell division control protein 48
B9J08_000481	scaffold00004:1025680-1026393	+	hypothetical protein
B9J08_000482	scaffold00004:1027840-1029882	+	hypothetical protein
B9J08_000483	scaffold00004:1029954-1031897	-	heat shock protein SSA1
B9J08_000484	scaffold00004:1032831-1033367	+	glycine cleavage system H protein
B9J08_000485	scaffold00004:1033456-1033850	-	hypothetical protein
B9J08_000486	scaffold00004:1035036-1036744	+	actin
B9J08_000487	scaffold00004:1036871-1038835	-	hypothetical protein
B9J08_000488	scaffold00004:1039261-1041735	-	hypothetical protein
B9J08_000489	scaffold00004:1041933-1043429	+	hypothetical protein
B9J08_000490	scaffold00004:1043510-1044559	-	hypothetical protein
B9J08_000491	scaffold00004:1046133-1047842	+	hypothetical protein
B9J08_000492	scaffold00004:1048185-1052960	+	hypothetical protein
B9J08_000493	scaffold00004:1054377-1054702	+	hypothetical protein
B9J08_000494	scaffold00004:1054980-1057484	-	hypothetical protein
B9J08_000495	scaffold00004:1058299-1060380	+	hypothetical protein
B9J08_000496	scaffold00004:1060887-1063621	-	5-formyltetrahydrofolate cyclo-ligase
B9J08_000497	scaffold00004:1066133-1067288	-	hypothetical protein
B9J08_000498	scaffold00004:1069022-1069876	-	inorganic pyrophosphatase
B9J08_000499	scaffold00004:1069969-1071012	-	hypothetical protein
B9J08_000500	scaffold00004:1071607-1072122	+	hypothetical protein
B9J08_000501	scaffold00004:1072876-1075533	+	hypothetical protein
B9J08_000502	scaffold00004:1076034-1076438	+	hypothetical protein
B9J08_000503	scaffold00004:1076495-1077985	-	hypothetical protein
B9J08_000504	scaffold00004:1078807-1081890	-	hypothetical protein
B9J08_000505	scaffold00003:528-1385	+	hypothetical protein
B9J08_000506	scaffold00003:2122-2931	+	V-type proton ATPase subunit D
B9J08_000507	scaffold00003:4020-5909	+	succinate dehydrogenase [ubiquinone] flavoprotein subunit%2C mitochondrial
B9J08_000508	scaffold00003:6094-8454	-	hypothetical protein
B9J08_000509	scaffold00003:10831-12915	-	hypothetical protein
B9J08_000510	scaffold00003:15499-19539	+	hypothetical protein
B9J08_000511	scaffold00003:20066-21061	+	hypothetical protein
B9J08_000512	scaffold00003:25090-25842	+	hypothetical protein
B9J08_000513	scaffold00003:25905-35681	-	hypothetical protein
B9J08_000514	scaffold00003:37307-38671	+	hypothetical protein
B9J08_000515	scaffold00003:39825-41129	+	hypothetical protein
B9J08_000516	scaffold00003:41137-41976	-	hypothetical protein
B9J08_000517	scaffold00003:44812-46668	+	hypothetical protein
B9J08_000518	scaffold00003:47187-48791	+	hypothetical protein
B9J08_000519	scaffold00003:48921-49230	-	hypothetical protein
B9J08_000520	scaffold00003:49720-52950	+	hypothetical protein
B9J08_000521	scaffold00003:53199-54209	+	hypothetical protein
B9J08_000522	scaffold00003:54232-55503	-	serine-tRNA ligase
B9J08_000523	scaffold00003:55701-58025	-	hypothetical protein
B9J08_000524	scaffold00003:58872-61478	+	hypothetical protein
B9J08_000525	scaffold00003:61526-62035	-	hypothetical protein
B9J08_000526	scaffold00003:62182-64380	+	hypothetical protein
B9J08_000527	scaffold00003:64514-65116	+	hypothetical protein
B9J08_000528	scaffold00003:66398-67090	+	superoxide dismutase [Mn]%2C mitochondrial
B9J08_000529	scaffold00003:67708-69306	-	hypothetical protein
B9J08_000530	scaffold00003:69462-70997	-	hypothetical protein
B9J08_000531	scaffold00003:71660-72010	-	hypothetical protein
B9J08_000532	scaffold00003:72291-72983	+	hypothetical protein
B9J08_000533	scaffold00003:73776-74759	+	hypothetical protein
B9J08_000534	scaffold00003:74835-77490	-	hypothetical protein
B9J08_000535	scaffold00003:78075-78698	+	hypothetical protein
B9J08_000536	scaffold00003:78738-80498	-	hypothetical protein
B9J08_000537	scaffold00003:81492-82262	+	pre-rRNA-processing protein PNO1
B9J08_000538	scaffold00003:82381-83031	-	hypothetical protein
B9J08_000539	scaffold00003:83201-83944	-	hypothetical protein
B9J08_000540	scaffold00003:84195-84896	+	hypothetical protein
B9J08_000541	scaffold00003:84987-86360	+	hypothetical protein
B9J08_000542	scaffold00003:87833-90481	+	hypothetical protein
B9J08_000543	scaffold00003:90734-91045	-	thioredoxin
B9J08_000544	scaffold00003:91281-92681	-	hypothetical protein
B9J08_000545	scaffold00003:93524-94348	+	hypothetical protein
B9J08_000546	scaffold00003:94784-96502	+	hypothetical protein
B9J08_000547	scaffold00003:96647-99337	+	hypothetical protein
B9J08_000548	scaffold00003:99340-100554	-	hypothetical protein
B9J08_000549	scaffold00003:100691-102220	+	hypothetical protein
B9J08_000550	scaffold00003:102301-103491	+	hypothetical protein
B9J08_000551	scaffold00003:103636-104169	+	hypothetical protein
B9J08_000552	scaffold00003:104377-105489	-	hypothetical protein
B9J08_000553	scaffold00003:106881-107483	+	hypothetical protein
B9J08_000554	scaffold00003:108018-108671	+	60S ribosomal protein L25
B9J08_000555	scaffold00003:110046-112496	+	hypothetical protein
B9J08_000556	scaffold00003:112596-113585	-	hypothetical protein
B9J08_000557	scaffold00003:114466-115026	+	hypothetical protein
B9J08_000558	scaffold00003:115248-116813	+	hypothetical protein
B9J08_000559	scaffold00003:116946-117806	+	S-formylglutathione hydrolase
B9J08_000560	scaffold00003:117883-118953	-	hypothetical protein
B9J08_000561	scaffold00003:119089-121062	-	hypothetical protein
B9J08_000562	scaffold00003:121394-124002	-	hypothetical protein
B9J08_000563	scaffold00003:124318-125976	-	hypothetical protein
B9J08_000564	scaffold00003:126999-127075	-	tRNA-Asn
B9J08_000565	scaffold00003:127629-128375	+	ribosomal protein L17
B9J08_000566	scaffold00003:128750-129718	+	hypothetical protein
B9J08_000567	scaffold00003:129756-130136	-	hypothetical protein
B9J08_000568	scaffold00003:132181-134217	+	hypothetical protein
B9J08_000569	scaffold00003:134281-135168	-	hypothetical protein
B9J08_000570	scaffold00003:135631-135894	+	hypothetical protein
B9J08_000571	scaffold00003:135983-136942	-	hypothetical protein
B9J08_000572	scaffold00003:137080-139572	-	hypothetical protein
B9J08_000573	scaffold00003:139997-141238	+	hypothetical protein
B9J08_000574	scaffold00003:141280-142305	+	hypothetical protein
B9J08_000575	scaffold00003:142357-144162	-	hypothetical protein
B9J08_000576	scaffold00003:144349-148974	-	hypothetical protein
B9J08_000577	scaffold00003:149190-150782	-	hypothetical protein
B9J08_000578	scaffold00003:152894-154840	+	hypothetical protein
B9J08_000579	scaffold00003:155417-156619	+	hypothetical protein
B9J08_000580	scaffold00003:157250-157660	+	hypothetical protein
B9J08_000581	scaffold00003:157698-159806	-	hypothetical protein
B9J08_000582	scaffold00003:160939-162609	-	hypothetical protein
B9J08_000583	scaffold00003:163948-164958	+	hypothetical protein
B9J08_000584	scaffold00003:165661-167016	+	hypothetical protein
B9J08_000585	scaffold00003:167106-167178	-	tRNA-Thr
B9J08_000586	scaffold00003:169305-169757	-	hypothetical protein
B9J08_000587	scaffold00003:170790-171170	-	hypothetical protein
B9J08_000588	scaffold00003:171452-173218	-	hypothetical protein
B9J08_000589	scaffold00003:173634-174350	-	hypothetical protein
B9J08_000590	scaffold00003:174676-176754	-	hypothetical protein
B9J08_000591	scaffold00003:177121-179751	+	hypothetical protein
B9J08_000592	scaffold00003:180639-181967	-	hypothetical protein
B9J08_000593	scaffold00003:186315-188000	+	hypothetical protein
B9J08_000594	scaffold00003:189538-191427	+	hypothetical protein
B9J08_000595	scaffold00003:192852-193760	+	hypothetical protein
B9J08_000596	scaffold00003:194646-196055	+	hypothetical protein
B9J08_000597	scaffold00003:196134-197555	-	hypothetical protein
B9J08_000598	scaffold00003:198320-199027	+	hypothetical protein
B9J08_000599	scaffold00003:199049-201235	-	hypothetical protein
B9J08_000600	scaffold00003:201871-203205	+	hypothetical protein
B9J08_000601	scaffold00003:203209-204852	-	hypothetical protein
B9J08_000602	scaffold00003:205831-207693	+	leukotriene A-4 hydrolase/aminopeptidase
B9J08_000603	scaffold00003:207818-208407	+	hypothetical protein
B9J08_000604	scaffold00003:209684-210076	+	40S ribosomal protein S22
B9J08_000605	scaffold00003:210577-210975	+	40S ribosomal protein S14
B9J08_000606	scaffold00003:212073-213395	+	hypothetical protein
B9J08_000607	scaffold00003:214596-216110	+	hypothetical protein
B9J08_000608	scaffold00003:216145-216879	-	hypothetical protein
B9J08_000609	scaffold00003:217306-218718	-	hypothetical protein
B9J08_000610	scaffold00003:219351-226094	-	hypothetical protein
B9J08_000611	scaffold00003:227685-231428	+	hypothetical protein
B9J08_000612	scaffold00003:231476-232537	-	hypothetical protein
B9J08_000613	scaffold00003:234669-241040	+	hypothetical protein
B9J08_000614	scaffold00003:243498-245453	+	hypothetical protein
B9J08_000615	scaffold00003:245815-246627	+	hypothetical protein
B9J08_000616	scaffold00003:246776-248562	-	hypothetical protein
B9J08_000617	scaffold00003:249558-249875	+	hypothetical protein
B9J08_000618	scaffold00003:249888-250502	-	hypothetical protein
B9J08_000619	scaffold00003:251059-252012	-	ubiquinone biosynthesis protein COQ4%2C mitochondrial
B9J08_000620	scaffold00003:252155-253789	-	hypothetical protein
B9J08_000621	scaffold00003:254331-254804	+	hypothetical protein
B9J08_000622	scaffold00003:254813-255721	-	lipoyl(octanoyl) transferase
B9J08_000623	scaffold00003:256062-257618	+	hypothetical protein
B9J08_000624	scaffold00003:257688-258272	+	hypothetical protein
B9J08_000625	scaffold00003:258380-258853	-	hypothetical protein
B9J08_000626	scaffold00003:259232-260611	-	hypothetical protein
B9J08_000627	scaffold00003:260779-261816	+	hypothetical protein
B9J08_000628	scaffold00003:262532-266944	+	hypothetical protein
B9J08_000629	scaffold00003:266949-267734	-	hypothetical protein
B9J08_000630	scaffold00003:267867-269285	+	hypothetical protein
B9J08_000631	scaffold00003:269307-271799	-	hypothetical protein
B9J08_000632	scaffold00003:272311-272763	-	ubiquitin-40S ribosomal protein S27a
B9J08_000633	scaffold00003:273441-274124	-	hypothetical protein
B9J08_000634	scaffold00003:274586-275404	-	hypothetical protein
B9J08_000635	scaffold00003:275552-276235	-	hypothetical protein
B9J08_000636	scaffold00003:277946-279367	+	hypothetical protein
B9J08_000637	scaffold00003:279403-281289	-	hypothetical protein
B9J08_000638	scaffold00003:281566-282510	-	hypothetical protein
B9J08_000639	scaffold00003:282951-284491	-	hypothetical protein
B9J08_000640	scaffold00003:285125-286090	-	hypothetical protein
B9J08_000641	scaffold00003:286357-286428	+	tRNA-Gly
B9J08_000642	scaffold00003:286509-287936	-	hypothetical protein
B9J08_000643	scaffold00003:288294-290642	-	hypothetical protein
B9J08_000644	scaffold00003:292578-293519	+	hypothetical protein
B9J08_000645	scaffold00003:294121-294711	+	peroxiredoxin TSA1
B9J08_000646	scaffold00003:294907-295452	+	hypothetical protein
B9J08_000647	scaffold00003:296391-297242	+	hypothetical protein
B9J08_000648	scaffold00003:297286-297939	-	hypothetical protein
B9J08_000649	scaffold00003:298421-298936	-	protein FYV4%2C mitochondrial
B9J08_000650	scaffold00003:299109-300083	-	hypothetical protein
B9J08_000651	scaffold00003:300985-303477	-	hypothetical protein
B9J08_000652	scaffold00003:303957-304724	-	hypothetical protein
B9J08_000653	scaffold00003:305222-307021	-	hypothetical protein
B9J08_000654	scaffold00003:309006-310139	+	hypothetical protein
B9J08_000655	scaffold00003:310370-310451	-	tRNA-Ser
B9J08_000656	scaffold00003:311262-312284	-	hypothetical protein
B9J08_000657	scaffold00003:312726-315764	-	hypothetical protein
B9J08_000658	scaffold00003:315996-319838	-	hypothetical protein
B9J08_000659	scaffold00003:321299-322642	+	mitochondrial chaperone BCS1
B9J08_000660	scaffold00003:322758-322979	-	hypothetical protein
B9J08_000661	scaffold00003:323178-325415	-	hypothetical protein
B9J08_000662	scaffold00003:328848-331337	+	hypothetical protein
B9J08_000663	scaffold00003:331665-332165	-	hypothetical protein
B9J08_000664	scaffold00003:332513-333688	-	hypothetical protein
B9J08_000665	scaffold00003:334491-335110	+	respiratory supercomplex factor 1%2C mitochondrial
B9J08_000666	scaffold00003:335543-337757	-	hypothetical protein
B9J08_000667	scaffold00003:338458-338928	-	hypothetical protein
B9J08_000668	scaffold00003:339277-340173	+	thiamine pyrophosphokinase
B9J08_000669	scaffold00003:340695-341069	+	hypothetical protein
B9J08_000670	scaffold00003:341305-341892	+	inosine triphosphate pyrophosphatase
B9J08_000671	scaffold00003:342096-342665	-	hypothetical protein
B9J08_000672	scaffold00003:343501-344484	-	hypothetical protein
B9J08_000673	scaffold00003:347904-348467	-	rRNA-processing protein FCF1
B9J08_000674	scaffold00003:348725-350413	-	hypothetical protein
B9J08_000675	scaffold00003:351970-359796	-	hypothetical protein
B9J08_000676	scaffold00003:361725-362219	+	hypothetical protein
B9J08_000677	scaffold00003:362630-363862	+	arsenical-resistance protein
B9J08_000678	scaffold00003:365021-365644	+	hypothetical protein
B9J08_000679	scaffold00003:366059-366508	+	hypothetical protein
B9J08_000680	scaffold00003:366575-369949	-	hypothetical protein
B9J08_000681	scaffold00003:370409-373021	-	hypothetical protein
B9J08_000682	scaffold00003:374878-375645	+	hydroxyacylglutathione hydrolase
B9J08_000683	scaffold00003:375754-376470	-	hypothetical protein
B9J08_000684	scaffold00003:376619-378310	-	hypothetical protein
B9J08_000685	scaffold00003:379484-381082	+	hypothetical protein
B9J08_000686	scaffold00003:382247-383497	+	argininosuccinate synthase
B9J08_000687	scaffold00003:383568-386801	-	hypothetical protein
B9J08_000688	scaffold00003:386939-388429	-	hypothetical protein
